Fecha,Producto,Categoría,Precio,UnidadesVendidas,Descuento,Mes,Día_Semana
07/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.56,94,10,1,6
23/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.17,77,10,1,1
21/01/2023,Leche Pil En Polvo 500g,Lácteos,23.72,33,20,1,6
23/01/2023,Leche Pil UHT 1L,Lácteos,7.53,106,5,1,1
18/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.59,70,0,1,3
14/01/2023,Leche Pil Entera 1L,Lácteos,8.78,121,0,1,6
08/01/2023,Leche Pil Light 1L,Lácteos,9.0,66,0,1,7
15/01/2023,Queso Pil Fresco 300g,Derivado,13.84,24,0,1,7
19/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.59,73,0,1,4
09/01/2023,Yogurt Pil Natural 1L,Derivado,10.02,44,0,1,1
26/01/2023,Yogurt Pil Fresa 1L,Derivado,10.0,55,0,1,4
28/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.53,93,0,1,6
01/01/2023,Leche Pil Light 1L,Lácteos,8.97,67,0,1,7
25/01/2023,Yogurt Pil Fresa 1L,Derivado,9.48,36,0,1,3
26/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.63,61,0,1,4
06/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.74,68,0,1,5
23/01/2023,Leche Pil Entera 1L,Lácteos,8.36,103,10,1,1
14/01/2023,Yogurt Pil Natural 1L,Derivado,9.96,55,0,1,6
11/01/2023,Leche Pil Deslactosada 1L,Lácteos,8.93,70,10,1,3
09/01/2023,Leche Pil UHT 1L,Lácteos,7.6,69,0,1,1
05/01/2023,Yogurt Pil Natural 1L,Derivado,10.31,48,0,1,4
07/01/2023,Leche Pil Light 1L,Lácteos,8.83,91,0,1,6
31/01/2023,Leche Pil Light 1L,Lácteos,8.87,86,0,1,2
25/01/2023,Queso Pil Fresco 300g,Derivado,13.73,40,0,1,3
11/01/2023,Leche Pil Entera 1L,Lácteos,8.2,96,0,1,3
04/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.57,67,15,1,3
03/01/2023,Yogurt Pil Natural 1L,Derivado,9.61,49,0,1,2
13/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.49,75,0,1,5
04/01/2023,Mantequilla Pil 200g,Derivado,12.12,30,5,1,3
12/01/2023,Leche Pil UHT 1L,Lácteos,7.71,105,0,1,4
28/01/2023,Queso Pil Fresco 300g,Derivado,13.72,36,0,1,6
12/01/2023,Leche Condensada Pil 400g,Derivado,10.71,28,0,1,4
20/01/2023,Leche Pil UHT 1L,Lácteos,7.49,97,0,1,5
09/01/2023,Bebida Láctea Pil Chocolate 1L,Bebidas,10.91,41,5,1,1
26/01/2023,Yogurt Pil Fresa 1L,Derivado,10.48,40,0,1,4
02/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.57,74,10,1,1
24/01/2023,Leche Pil Light 1L,Lácteos,9.17,73,0,1,2
15/01/2023,Leche Pil UHT 1L,Lácteos,6.99,102,0,1,7
18/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.47,61,0,1,3
04/01/2023,Yogurt Pil Fresa 1L,Derivado,10.61,58,0,1,3
30/01/2023,Leche Pil Entera 1L,Lácteos,8.32,100,0,1,1
13/01/2023,Leche Condensada Pil 400g,Derivado,11.0,31,15,1,5
03/01/2023,Leche Pil Entera 1L,Lácteos,8.56,109,0,1,2
18/01/2023,Yogurt Pil Natural 1L,Derivado,9.85,53,0,1,3
10/01/2023,Leche Pil 500ml (mini),Lácteos,4.9,73,0,1,2
27/01/2023,Leche Pil Light 1L,Lácteos,9.37,79,0,1,5
21/01/2023,Yogurt Pil Natural 1L,Derivado,10.1,62,5,1,6
20/01/2023,Yogurt Pil Fresa 1L,Derivado,9.75,52,0,1,5
29/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.48,44,0,1,7
28/01/2023,Leche Condensada Pil 400g,Derivado,11.09,33,0,1,6
12/01/2023,Leche Pil Entera 1L,Lácteos,8.47,100,0,1,4
19/01/2023,Leche Pil UHT 1L,Lácteos,7.72,81,0,1,4
07/01/2023,Leche Pil En Polvo 500g,Lácteos,25.26,19,0,1,6
23/01/2023,Leche Pil 500ml (mini),Lácteos,5.28,65,15,1,1
03/01/2023,Leche Pil Entera 1L,Lácteos,8.54,93,0,1,2
02/01/2023,Leche Pil En Polvo 500g,Lácteos,25.78,15,0,1,1
22/01/2023,Leche Pil 500ml (mini),Lácteos,4.9,46,0,1,7
08/01/2023,Crema Pil 200ml,Derivado,8.03,19,5,1,7
25/01/2023,Bebida Láctea Pil Chocolate 1L,Bebidas,11.03,35,0,1,3
10/01/2023,Leche Pil Light 1L,Lácteos,8.83,87,0,1,2
03/01/2023,Leche Pil Entera 1L,Lácteos,7.61,117,10,1,2
28/01/2023,Leche Pil Entera 1L,Lácteos,8.43,132,5,1,6
08/01/2023,Bebida Láctea Pil Chocolate 1L,Bebidas,12.01,27,0,1,7
28/01/2023,Mantequilla Pil 200g,Derivado,12.32,32,0,1,6
04/01/2023,Leche Pil UHT 1L,Lácteos,7.84,90,0,1,3
13/01/2023,Leche Pil 500ml (mini),Lácteos,5.01,73,0,1,5
09/01/2023,Yogurt Pil Natural 1L,Derivado,10.0,47,0,1,1
15/01/2023,Yogurt Pil Fresa 1L,Derivado,10.12,44,0,1,7
21/01/2023,Leche Pil Light 1L,Lácteos,8.8,114,10,1,6
27/01/2023,Leche Pil Light 1L,Lácteos,9.45,89,10,1,5
12/01/2023,Leche Pil Entera 1L,Lácteos,8.47,104,0,1,4
06/01/2023,Leche Pil Entera 1L,Lácteos,8.24,129,5,1,5
12/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.48,85,5,1,4
12/01/2023,Yogurt Pil Natural 1L,Derivado,9.93,53,0,1,4
07/01/2023,Leche Pil Entera 1L,Lácteos,8.72,127,10,1,6
22/01/2023,Leche Pil UHT 1L,Lácteos,7.28,75,0,1,7
09/01/2023,Leche Pil Light 1L,Lácteos,9.32,72,0,1,1
23/01/2023,Yogurt Pil Natural 1L,Derivado,10.07,48,0,1,1
30/01/2023,Yogurt Pil Fresa 1L,Derivado,10.46,32,0,1,1
22/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.57,56,0,1,7
21/01/2023,Mantequilla Pil 200g,Derivado,11.87,36,0,1,6
03/01/2023,Leche Pil Entera 1L,Lácteos,8.44,83,5,1,2
20/01/2023,Leche Pil En Polvo 500g,Lácteos,24.82,20,15,1,5
21/01/2023,Yogurt Pil Natural 1L,Derivado,9.73,79,5,1,6
06/01/2023,Yogurt Pil Fresa 1L,Derivado,10.28,39,0,1,5
18/01/2023,Bebida Láctea Pil Chocolate 1L,Bebidas,11.24,46,0,1,3
24/01/2023,Yogurt Pil Fresa 1L,Derivado,9.98,34,0,1,2
08/01/2023,Yogurt Pil Fresa 1L,Derivado,9.64,34,0,1,7
06/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.82,58,0,1,5
15/01/2023,Leche Pil 500ml (mini),Lácteos,5.12,59,5,1,7
13/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.57,70,10,1,5
09/01/2023,Leche Pil Light 1L,Lácteos,9.43,79,5,1,1
30/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.99,52,0,1,1
21/01/2023,Leche Pil Light 1L,Lácteos,9.22,103,10,1,6
23/01/2023,Leche Pil Light 1L,Lácteos,8.38,86,0,1,1
18/01/2023,Leche Pil 500ml (mini),Lácteos,5.21,57,0,1,3
08/01/2023,Leche Pil En Polvo 500g,Lácteos,25.62,5,5,1,7
22/01/2023,Bebida Láctea Pil Chocolate 1L,Bebidas,11.85,34,10,1,7
11/01/2023,Leche Pil UHT 1L,Lácteos,7.51,87,0,1,3
27/01/2023,Leche Pil Entera 1L,Lácteos,9.14,109,0,1,5
25/01/2023,Leche Pil UHT 1L,Lácteos,7.1,120,0,1,3
25/01/2023,Yogurt Pil Natural 1L,Derivado,10.45,60,0,1,3
02/01/2023,Leche Pil 500ml (mini),Lácteos,4.91,48,0,1,1
08/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.68,72,0,1,7
27/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.2,69,0,1,5
02/01/2023,Leche Pil 500ml (mini),Lácteos,4.89,57,0,1,1
26/01/2023,Crema Pil 200ml,Derivado,7.98,33,0,1,4
11/01/2023,Leche Pil UHT 1L,Lácteos,7.68,79,0,1,3
13/01/2023,Leche Pil Entera 1L,Lácteos,8.76,92,0,1,5
09/01/2023,Leche Pil Light 1L,Lácteos,8.81,82,15,1,1
03/01/2023,Yogurt Pil Natural 1L,Derivado,9.8,49,5,1,2
07/01/2023,Yogurt Pil Fresa 1L,Derivado,10.04,59,0,1,6
30/01/2023,Leche Pil UHT 1L,Lácteos,7.78,74,0,1,1
31/01/2023,Bebida Láctea Pil Chocolate 1L,Bebidas,10.78,47,0,1,2
19/01/2023,Leche Pil Entera 1L,Lácteos,8.62,95,0,1,4
29/01/2023,Leche Pil Entera 1L,Lácteos,8.3,89,5,1,7
23/01/2023,Leche Pil Entera 1L,Lácteos,8.71,114,10,1,1
11/01/2023,Leche Pil Light 1L,Lácteos,8.75,83,0,1,3
07/01/2023,Leche Pil Entera 1L,Lácteos,8.58,133,0,1,6
21/01/2023,Leche Pil UHT 1L,Lácteos,7.22,119,10,1,6
16/01/2023,Mantequilla Pil 200g,Derivado,12.45,36,0,1,1
13/01/2023,Yogurt Pil Fresa 1L,Derivado,9.35,61,20,1,5
29/01/2023,Leche Pil Entera 1L,Lácteos,8.58,87,0,1,7
30/01/2023,Leche Pil UHT 1L,Lácteos,7.12,103,0,1,1
21/01/2023,Leche Pil Entera 1L,Lácteos,8.08,132,0,1,6
15/01/2023,Leche Pil Entera 1L,Lácteos,8.64,87,0,1,7
05/01/2023,Mantequilla Pil 200g,Derivado,12.6,42,0,1,4
09/01/2023,Leche Pil UHT 1L,Lácteos,7.73,105,0,1,1
05/01/2023,Mantequilla Pil 200g,Derivado,11.78,30,0,1,4
08/01/2023,Mantequilla Pil 200g,Derivado,11.49,31,15,1,7
24/01/2023,Bebida Láctea Pil Chocolate 1L,Bebidas,11.71,35,0,1,2
18/01/2023,Mantequilla Pil 200g,Derivado,11.45,24,0,1,3
18/01/2023,Yogurt Pil Natural 1L,Derivado,9.81,56,0,1,3
09/01/2023,Leche Pil Deslactosada 1L,Lácteos,10.02,56,0,1,1
24/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.59,70,0,1,2
19/01/2023,Queso Pil Fresco 300g,Derivado,14.42,45,0,1,4
14/01/2023,Queso Pil Fresco 300g,Derivado,13.88,41,0,1,6
29/01/2023,Bebida Láctea Pil Chocolate 1L,Bebidas,11.54,23,0,1,7
19/01/2023,Bebida Láctea Pil Chocolate 1L,Bebidas,11.48,46,0,1,4
13/01/2023,Leche Pil Light 1L,Lácteos,8.82,75,0,1,5
12/01/2023,Leche Pil UHT 1L,Lácteos,7.82,91,5,1,4
08/01/2023,Yogurt Pil Natural 1L,Derivado,9.43,54,0,1,7
05/01/2023,Crema Pil 200ml,Derivado,8.17,24,5,1,4
17/01/2023,Yogurt Pil Natural 1L,Derivado,10.01,48,0,1,2
16/01/2023,Leche Pil UHT 1L,Lácteos,7.89,76,0,1,1
03/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.55,43,0,1,2
25/01/2023,Leche Pil Entera 1L,Lácteos,8.26,134,15,1,3
02/01/2023,Leche Pil En Polvo 500g,Lácteos,24.79,13,10,1,1
28/01/2023,Leche Pil Light 1L,Lácteos,9.04,92,0,1,6
04/01/2023,Leche Pil UHT 1L,Lácteos,7.61,101,0,1,3
05/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.45,79,5,1,4
21/01/2023,Leche Pil Light 1L,Lácteos,8.68,99,0,1,6
06/01/2023,Leche Pil Entera 1L,Lácteos,8.41,126,0,1,5
26/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.58,69,5,1,4
22/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.49,46,0,1,7
14/01/2023,Leche Pil En Polvo 500g,Lácteos,26.35,20,0,1,6
20/01/2023,Leche Pil 500ml (mini),Lácteos,5.2,55,0,1,5
03/01/2023,Crema Pil 200ml,Derivado,7.73,20,0,1,2
13/01/2023,Leche Pil Light 1L,Lácteos,8.75,129,10,1,5
13/01/2023,Leche Pil Entera 1L,Lácteos,8.65,119,5,1,5
20/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.55,62,0,1,5
15/01/2023,Leche Pil 500ml (mini),Lácteos,5.01,52,0,1,7
17/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.66,90,15,1,2
09/01/2023,Leche Pil Light 1L,Lácteos,8.61,90,5,1,1
18/01/2023,Mantequilla Pil 200g,Derivado,11.8,27,5,1,3
28/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.61,59,0,1,6
31/01/2023,Leche Pil UHT 1L,Lácteos,7.22,101,5,1,2
01/01/2023,Leche Pil 500ml (mini),Lácteos,4.97,47,0,1,7
22/01/2023,Leche Pil UHT 1L,Lácteos,7.47,76,0,1,7
24/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.68,61,0,1,2
04/01/2023,Leche Pil Entera 1L,Lácteos,8.18,121,10,1,3
22/01/2023,Crema Pil 200ml,Derivado,8.35,21,5,1,7
29/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.72,61,0,1,7
18/01/2023,Yogurt Pil Fresa 1L,Derivado,10.45,45,0,1,3
25/01/2023,Leche Pil Entera 1L,Lácteos,8.46,108,0,1,3
09/01/2023,Crema Pil 200ml,Derivado,7.83,17,5,1,1
25/01/2023,Yogurt Pil Fresa 1L,Derivado,10.0,39,0,1,3
21/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.39,54,0,1,6
11/01/2023,Leche Pil 500ml (mini),Lácteos,4.79,63,15,1,3
04/01/2023,Leche Pil Entera 1L,Lácteos,8.22,134,0,1,3
10/01/2023,Leche Pil Entera 1L,Lácteos,8.96,118,10,1,2
14/01/2023,Yogurt Pil Natural 1L,Derivado,10.11,60,0,1,6
06/01/2023,Leche Pil UHT 1L,Lácteos,7.59,87,5,1,5
15/01/2023,Queso Pil Fresco 300g,Derivado,14.92,29,0,1,7
01/01/2023,Bebida Láctea Pil Chocolate 1L,Bebidas,11.44,26,0,1,7
31/01/2023,Leche Pil Light 1L,Lácteos,9.28,87,20,1,2
24/01/2023,Leche Pil Entera 1L,Lácteos,8.43,118,10,1,2
29/01/2023,Mantequilla Pil 200g,Derivado,11.4,31,5,1,7
24/01/2023,Crema Pil 200ml,Derivado,7.63,18,5,1,2
09/01/2023,Leche Pil 500ml (mini),Lácteos,5.3,47,0,1,1
17/01/2023,Mantequilla Pil 200g,Derivado,11.77,38,5,1,2
25/01/2023,Leche Pil Light 1L,Lácteos,9.11,92,10,1,3
06/01/2023,Yogurt Pil Fresa 1L,Derivado,9.79,43,0,1,5
17/01/2023,Queso Pil Fresco 300g,Derivado,14.12,41,0,1,2
30/01/2023,Leche Pil UHT 1L,Lácteos,7.52,93,0,1,1
04/01/2023,Yogurt Pil Fresa 1L,Derivado,9.62,53,15,1,3
28/01/2023,Mantequilla Pil 200g,Derivado,12.18,41,5,1,6
21/01/2023,Leche Pil Light 1L,Lácteos,8.42,94,0,1,6
10/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.6,73,0,1,2
27/01/2023,Leche Pil UHT 1L,Lácteos,7.48,108,0,1,5
21/01/2023,Queso Pil Fresco 300g,Derivado,13.94,40,0,1,6
17/01/2023,Leche Pil Entera 1L,Lácteos,8.78,86,0,1,2
20/01/2023,Leche Pil Light 1L,Lácteos,9.16,80,0,1,5
07/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.39,88,0,1,6
05/01/2023,Crema Pil 200ml,Derivado,7.9,29,5,1,4
12/01/2023,Queso Pil Fresco 300g,Derivado,14.12,33,0,1,4
25/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.4,50,0,1,3
06/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.56,77,0,1,5
18/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.41,60,0,1,3
31/01/2023,Leche Pil UHT 1L,Lácteos,7.71,96,0,1,2
25/01/2023,Mantequilla Pil 200g,Derivado,11.23,38,0,1,3
30/01/2023,Bebida Láctea Pil Chocolate 1L,Bebidas,12.11,41,0,1,1
17/01/2023,Leche Pil UHT 1L,Lácteos,7.73,91,0,1,2
30/01/2023,Bebida Láctea Pil Chocolate 1L,Bebidas,12.34,41,0,1,1
01/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.51,74,0,1,7
20/01/2023,Leche Pil Light 1L,Lácteos,8.98,86,0,1,5
11/01/2023,Yogurt Pil Fresa 1L,Derivado,10.08,50,0,1,3
16/01/2023,Leche Pil 500ml (mini),Lácteos,4.93,57,0,1,1
01/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.39,70,5,1,7
04/01/2023,Leche Pil Entera 1L,Lácteos,8.46,107,0,1,3
30/01/2023,Leche Pil Light 1L,Lácteos,8.62,107,10,1,1
12/01/2023,Leche Pil Deslactosada 1L,Lácteos,10.0,65,0,1,4
29/01/2023,Queso Pil Fresco 300g,Derivado,14.1,30,0,1,7
27/01/2023,Crema Pil 200ml,Derivado,7.81,22,0,1,5
26/01/2023,Queso Pil Fresco 300g,Derivado,14.4,36,0,1,4
10/01/2023,Leche Pil En Polvo 500g,Lácteos,26.66,16,0,1,2
08/01/2023,Leche Pil UHT 1L,Lácteos,7.73,72,0,1,7
02/01/2023,Leche Pil Entera 1L,Lácteos,8.37,103,10,1,1
08/01/2023,Leche Pil UHT 1L,Lácteos,7.27,97,10,1,7
29/01/2023,Leche Pil Deslactosada 1L,Lácteos,10.09,59,0,1,7
19/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.7,67,5,1,4
31/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.76,75,0,1,2
03/01/2023,Leche Pil Entera 1L,Lácteos,8.9,101,0,1,2
03/01/2023,Leche Pil UHT 1L,Lácteos,7.43,91,0,1,2
24/01/2023,Leche Pil Entera 1L,Lácteos,8.71,111,10,1,2
16/01/2023,Leche Condensada Pil 400g,Derivado,10.77,17,0,1,1
27/01/2023,Leche Pil UHT 1L,Lácteos,7.23,117,0,1,5
03/01/2023,Mantequilla Pil 200g,Derivado,11.74,40,0,1,2
25/01/2023,Yogurt Pil Fresa 1L,Derivado,10.01,49,0,1,3
18/01/2023,Yogurt Pil Fresa 1L,Derivado,9.26,46,5,1,3
25/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.7,54,0,1,3
05/01/2023,Mantequilla Pil 200g,Derivado,12.04,29,5,1,4
05/01/2023,Leche Pil 500ml (mini),Lácteos,4.88,61,0,1,4
22/01/2023,Leche Pil UHT 1L,Lácteos,7.58,80,0,1,7
16/01/2023,Queso Pil Fresco 300g,Derivado,13.91,32,0,1,1
31/01/2023,Leche Pil 500ml (mini),Lácteos,5.22,44,0,1,2
18/01/2023,Yogurt Pil Natural 1L,Derivado,9.54,53,0,1,3
06/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.62,66,0,1,5
09/01/2023,Leche Pil 500ml (mini),Lácteos,5.13,54,0,1,1
17/01/2023,Leche Pil 500ml (mini),Lácteos,5.11,62,0,1,2
28/01/2023,Leche Pil Light 1L,Lácteos,9.0,95,0,1,6
20/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.67,50,0,1,5
14/01/2023,Yogurt Pil Natural 1L,Derivado,9.59,53,0,1,6
31/01/2023,Leche Pil 500ml (mini),Lácteos,4.76,80,0,1,2
07/01/2023,Yogurt Pil Natural 1L,Derivado,9.72,70,0,1,6
30/01/2023,Leche Pil Entera 1L,Lácteos,7.95,126,20,1,1
18/01/2023,Leche Pil Entera 1L,Lácteos,8.41,108,0,1,3
25/01/2023,Leche Pil UHT 1L,Lácteos,7.54,106,5,1,3
24/01/2023,Leche Pil UHT 1L,Lácteos,7.78,80,0,1,2
23/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.55,59,5,1,1
07/01/2023,Leche Pil Entera 1L,Lácteos,8.28,148,0,1,6
23/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.25,57,0,1,1
10/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.82,42,0,1,2
13/01/2023,Leche Pil Light 1L,Lácteos,9.11,88,0,1,5
22/01/2023,Leche Pil Light 1L,Lácteos,9.09,70,0,1,7
21/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.45,91,5,1,6
12/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.55,53,0,1,4
15/01/2023,Leche Pil En Polvo 500g,Lácteos,26.2,5,15,1,7
29/01/2023,Bebida Láctea Pil Chocolate 1L,Bebidas,11.32,48,0,1,7
17/01/2023,Bebida Láctea Pil Chocolate 1L,Bebidas,11.7,45,5,1,2
15/01/2023,Leche Condensada Pil 400g,Derivado,11.11,20,5,1,7
04/01/2023,Leche Pil Light 1L,Lácteos,9.24,87,5,1,3
08/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.72,60,0,1,7
08/01/2023,Yogurt Pil Fresa 1L,Derivado,10.18,40,0,1,7
03/01/2023,Leche Pil Entera 1L,Lácteos,8.71,105,0,1,2
11/01/2023,Crema Pil 200ml,Derivado,8.19,21,20,1,3
01/01/2023,Leche Pil 500ml (mini),Lácteos,4.93,42,0,1,7
19/01/2023,Yogurt Pil Fresa 1L,Derivado,9.89,54,0,1,4
18/01/2023,Yogurt Pil Fresa 1L,Derivado,10.62,47,0,1,3
08/01/2023,Yogurt Pil Natural 1L,Derivado,10.36,34,0,1,7
19/01/2023,Leche Condensada Pil 400g,Derivado,11.03,20,0,1,4
08/01/2023,Leche Pil Light 1L,Lácteos,9.4,76,0,1,7
01/01/2023,Queso Pil Fresco 300g,Derivado,14.78,29,5,1,7
03/01/2023,Bebida Láctea Pil Chocolate 1L,Bebidas,11.13,46,15,1,2
23/01/2023,Leche Pil UHT 1L,Lácteos,7.38,85,0,1,1
21/01/2023,Leche Pil 500ml (mini),Lácteos,5.12,65,0,1,6
02/01/2023,Leche Pil 500ml (mini),Lácteos,4.82,42,0,1,1
08/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.11,68,5,1,7
03/01/2023,Bebida Láctea Pil Chocolate 1L,Bebidas,11.62,27,0,1,2
29/01/2023,Leche Pil Light 1L,Lácteos,9.03,73,10,1,7
02/01/2023,Leche Pil UHT 1L,Lácteos,7.39,94,0,1,1
28/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.6,84,0,1,6
11/01/2023,Leche Pil Entera 1L,Lácteos,8.7,98,0,1,3
03/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.25,71,5,1,2
17/01/2023,Leche Pil UHT 1L,Lácteos,7.57,94,15,1,2
08/01/2023,Leche Pil Light 1L,Lácteos,8.96,77,0,1,7
09/01/2023,Leche Pil En Polvo 500g,Lácteos,24.63,14,0,1,1
22/01/2023,Leche Pil Entera 1L,Lácteos,8.14,89,0,1,7
16/01/2023,Queso Pil Fresco 300g,Derivado,13.92,39,10,1,1
07/01/2023,Leche Pil 500ml (mini),Lácteos,4.98,66,0,1,6
18/01/2023,Leche Pil 500ml (mini),Lácteos,4.9,58,0,1,3
05/01/2023,Leche Pil Entera 1L,Lácteos,8.3,115,0,1,4
24/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.71,65,0,1,2
30/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.55,64,0,1,1
29/01/2023,Leche Pil UHT 1L,Lácteos,7.32,76,0,1,7
19/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.44,69,5,1,4
19/01/2023,Queso Pil Fresco 300g,Derivado,12.84,29,0,1,4
16/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.64,66,0,1,1
08/01/2023,Leche Pil Light 1L,Lácteos,9.08,70,0,1,7
26/01/2023,Crema Pil 200ml,Derivado,8.18,18,0,1,4
16/01/2023,Leche Pil UHT 1L,Lácteos,7.26,102,10,1,1
26/01/2023,Leche Condensada Pil 400g,Derivado,11.14,18,0,1,4
14/01/2023,Leche Pil Light 1L,Lácteos,9.07,106,0,1,6
07/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.54,78,0,1,6
04/01/2023,Leche Pil 500ml (mini),Lácteos,4.85,75,5,1,3
04/01/2023,Leche Pil UHT 1L,Lácteos,7.39,117,10,1,3
22/01/2023,Queso Pil Fresco 300g,Derivado,13.36,35,10,1,7
14/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.85,57,0,1,6
12/01/2023,Queso Pil Fresco 300g,Derivado,13.91,34,10,1,4
14/01/2023,Leche Pil Entera 1L,Lácteos,8.35,122,0,1,6
14/01/2023,Bebida Láctea Pil Chocolate 1L,Bebidas,11.72,59,0,1,6
15/01/2023,Leche Pil Light 1L,Lácteos,9.3,66,0,1,7
28/01/2023,Yogurt Pil Fresa 1L,Derivado,10.08,54,0,1,6
24/01/2023,Leche Pil Entera 1L,Lácteos,8.48,101,15,1,2
02/01/2023,Leche Pil 500ml (mini),Lácteos,5.13,73,20,1,1
22/01/2023,Yogurt Pil Fresa 1L,Derivado,10.15,38,0,1,7
21/01/2023,Yogurt Pil Fresa 1L,Derivado,9.93,59,0,1,6
21/01/2023,Leche Pil Entera 1L,Lácteos,8.41,134,0,1,6
04/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.56,84,0,1,3
02/01/2023,Yogurt Pil Fresa 1L,Derivado,10.27,47,10,1,1
